date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2009-01-03,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-04,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-05,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-06,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-07,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-08,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-09,19,19,4085,215,,,0,1,,,,,0,,950,36500,,950,,,,1,,,,950,0,0,0,,,,,,0,,,,
2009-01-10,61,61,13129,215.229508196721,,,0,1,,,,,0,,3050,27831.25,,3050,,,,1,,,,4000,0,0,0,,,,,,0,,,,
2009-01-11,95,93,20308,218.365591397849,,,0,1,0,,0,,0,,4650,19621.387283237,,4650,,865,,1,,,,8650,1,1,10,,10,,10,,10,,,,
2009-01-12,101,94,21758,231.468085106383,,,0,1,0,,0,,0,,4700,12850.1872659176,,4700,,556.25,,1,,,,13350,6,6,24,,4,,1,,24,,,,
2009-01-13,123,123,26530,215.691056910569,,,0,1,,,,,0,,6150,11511.5384615385,,6150,,,,1,,,,19500,0,0,0,,,,,,0,,,,
2009-01-14,133,129,28276,219.193798449612,,,0,1,0,,0,,0,,6450,9072.25433526012,,6450,,425.40983607,,1,,,,25950,1,1,61,,61,,61,,61,,,,
2009-01-15,140,126,30060,238.571428571429,,,0,1,0,,0,,0,,6300,7130.23255813953,,6300,,91.88034188,,1,,,,32250,8,7,351,,50.4285714285714,,25,,353,,,,
2009-01-16,114,108,23854,220.87037037037,,,0,1,0,,0,,0,,5400,5235.05976095618,,5400,,188.25,,1,,,,37650,2,2,200,,100,,100,,200,,,,
2009-01-17,109,109,23529,215.862385321101,,,0,1,,,,,0,,5450,4615.42923433875,,5450,,,,1,,,,43100,0,0,0,,,,,,0,,,,
2009-01-18,111,107,23534,219.943925233645,,,0,1,0,,0,,0,,5350,4030.44375644995,,5350,,323,,1,,,,48450,1,1,150,,150,,150,,150,,,,
2009-01-19,133,115,26782,232.886956521739,,,0,1,0,,0,,0,,5750,3872.23247232472,,5750,,69.93548387,,1,,,,54200,2,2,775,,387.5,,387.5,,775,,,,
2009-01-20,123,114,25620,224.736842105263,,,0,1,0,,0,,0,,5700,3473.28881469115,,5700,,149.75,,1,,,,59900,1,1,400,,400,,400,,400,,,,
2009-01-21,116,102,23518,230.56862745098,,,0,1,0,,0,,0,,5100,2863.84615384615,,5100,,108.33333333,,1,,,,65000,2,2,600,,300,,300,,600,,,,
2009-01-22,95,91,20061,220.450549450549,,,0,1,0,,0,,0,,4550,2387.85046728972,,4550,,463.66666667,,1,,,,69550,1,1,150,,150,,150,,150,,,,
2009-01-23,91,84,18830,224.166666666667,,,0,1,0,,0,,0,,4200,2078.64406779661,,4200,,245.83333333,,1,,,,73750,1,1,300,,300,,300,,300,,,,
2009-01-24,212,201,44633,222.054726368159,,,0,1,0,,0,,0,,10050,4377.38663484487,,10050,,167.6,,1,,,,83800,1,1,500,,500,,500,,500,,,,
2009-01-25,193,191,41447,217,,,0,1,0,,0,,0,,9550,3734.06534547402,,9550,,1867,,1,,,,93350,1,1,50,,50,,50,,50,,,,
2009-01-26,117,96,23036,239.958333333333,,,0,1,0,,0,,0,,4800,1785.02292409577,,4800,,98.15,,1,,,,98150,1,1,1000,,1000,,1000,,1000,,,,
2009-01-27,101,97,21370,220.309278350515,,,0,1,0,,0,,0,,4850,1718.68932038835,,4850,,686.66666667,,1,,,,103000,1,1,150,,150,,150,,150,,,,
2009-01-28,112,112,24152,215.642857142857,,,0,1,,,,,0,,5600,1882.13627992634,,5600,,,,1,,,,108600,0,0,0,,,,,,0,,,,
2009-01-29,134,121,27498,227.256198347107,,,0,1,0,,0,,0,,6050,1926.07937200174,,6050,,191.08333333,,1,,,,114650,1,1,600,,600,,600,,600,,,,
2009-01-30,117,117,25254,215.846153846154,,,0,1,,,,,0,,5850,1771.99170124481,,5850,,,,1,,,,120500,0,0,0,,,,,,0,,,,
2009-01-31,159,138,32084,232.492753623188,,,0,1,0,,0,,0,,6900,1976.84458398744,,6900,,127.4,,1,,,,127400,1,1,1000,,1000,,1000,,1000,,,,
